Group,Epoch,Subject,Frequency (Hz),Coherence
Females PRE,Pre-bout (t<0),M512,1.0092,0.4159
Females PRE,Pre-bout (t<0),M512,1.2615,0.2242
Females PRE,Pre-bout (t<0),M512,1.5138,0.0816
Females PRE,Pre-bout (t<0),M512,1.7661,0.2551
Females PRE,Pre-bout (t<0),M512,2.0184,0.3242
Females PRE,Pre-bout (t<0),M512,2.2707,0.2446
Females PRE,Pre-bout (t<0),M512,2.523,0.145
Females PRE,Pre-bout (t<0),M512,2.7753,0.053
Females PRE,Pre-bout (t<0),M512,3.0276,0.0923
Females PRE,Pre-bout (t<0),M512,3.2799,0.0364
Females PRE,Pre-bout (t<0),M512,3.5322,0.0647
Females PRE,Pre-bout (t<0),M512,3.7845,0.0177
Females PRE,Pre-bout (t<0),M512,4.0368,0.1542
Females PRE,Pre-bout (t<0),M512,4.2891,0.0344
Females PRE,Pre-bout (t<0),M512,4.5414,0.0345
Females PRE,Pre-bout (t<0),M512,4.7937,0.0524
Females PRE,Pre-bout (t<0),M513,0.2523,0.2559
Females PRE,Pre-bout (t<0),M513,0.5046,0.3313
Females PRE,Pre-bout (t<0),M513,0.7569,0.4879
Females PRE,Pre-bout (t<0),M513,1.0092,0.4192
Females PRE,Pre-bout (t<0),M513,1.2615,0.2903
Females PRE,Pre-bout (t<0),M513,1.5138,0.2734
Females PRE,Pre-bout (t<0),M513,1.7661,0.1906
Females PRE,Pre-bout (t<0),M513,2.0184,0.1567
Females PRE,Pre-bout (t<0),M513,2.2707,0.1974
Females PRE,Pre-bout (t<0),M513,2.523,0.1485
Females PRE,Pre-bout (t<0),M513,2.7753,0.1541
Females PRE,Pre-bout (t<0),M513,3.0276,0.1331
Females PRE,Pre-bout (t<0),M513,3.2799,0.1611
Females PRE,Pre-bout (t<0),M513,3.5322,0.1694
Females PRE,Pre-bout (t<0),M513,3.7845,0.0749
Females PRE,Pre-bout (t<0),M513,4.0368,0.2546
Females PRE,Pre-bout (t<0),M513,4.2891,0.1973
Females PRE,Pre-bout (t<0),M513,4.5414,0.02
Females PRE,Pre-bout (t<0),M513,4.7937,0.061
Females PRE,Pre-bout (t<0),M520,0.2523,0.3246
Females PRE,Pre-bout (t<0),M520,0.5046,0.1608
Females PRE,Pre-bout (t<0),M520,0.7569,0.0914
Females PRE,Pre-bout (t<0),M520,1.0092,0.0009
Females PRE,Pre-bout (t<0),M520,1.2615,0.0315
Females PRE,Pre-bout (t<0),M520,1.5138,0.2134
Females PRE,Pre-bout (t<0),M520,1.7661,0.1072
Females PRE,Pre-bout (t<0),M520,2.0184,0.0501
Females PRE,Pre-bout (t<0),M520,2.2707,0.0657
Females PRE,Pre-bout (t<0),M520,2.523,0.1483
Females PRE,Pre-bout (t<0),M520,2.7753,0.1238
Females PRE,Pre-bout (t<0),M520,3.0276,0.0614
Females PRE,Pre-bout (t<0),M520,3.2799,0.1832
Females PRE,Pre-bout (t<0),M520,3.5322,0.1702
